iter	Passed	Remaining
180	6787	68214
181	6821	68142
182	6856	68077
183	6891	68019
184	6942	68114
185	6991	68190
186	7025	68115
187	7058	68032
188	7092	67960
189	7127	67901
190	7163	67843
191	7197	67779
192	7233	67722
193	7266	67650
194	7301	67587
195	7335	67517
196	7371	67462
197	7405	67394
198	7443	67361
199	7480	67327
200	7520	67307
201	7558	67276
202	7593	67221
203	7628	67163
204	7677	67229
205	7714	67185
206	7757	67191
207	7796	67165
208	7832	67116
209	7868	67067
210	7903	67007
211	7939	66960
212	7975	66915
213	8011	66859
214	8046	66802
215	8081	66748
216	8116	66690
217	8155	66665
218	8189	66600
219	8223	66537
220	8258	66477
221	8292	66418
222	8327	66357
223	8361	66298
224	8395	66229
225	8433	66196
226	8482	66251
227	8565	66571
228	8616	66634
229	8656	66614
230	8698	66615
231	8755	66724
232	8811	66820
233	8848	66777
234	8885	66736
235	8922	66689
236	8959	66645
237	8997	66610
238	9048	66670
239	9113	66830
240	9188	67062
241	9272	67363
242	9333	67487
243	9388	67567
244	9457	67745
245	9516	67856
246	9565	67887
247	9610	67890
248	9660	67933
249	9700	67901
250	9739	67864
251	9776	67812
252	9811	67750
253	9845	67681
254	9882	67624
255	9925	67617
256	9967	67603
257	10022	67668
258	10080	67760
259	10208	68318
260	10287	68546
261	10343	68612
262	10396	68661
263	10446	68694
264	10493	68703
265	10545	68745
266	10588	68724
267	10632	68715
268	10673	68680
269	10714	68654
270	10752	68603
271	10792	68561
272	10831	68522
273	10874	68499
274	10917	68485
275	10959	68456
276	11001	68429
277	11042	68398
278	11084	68375
279	11131	68379
280	11189	68449
281	11239	68474
282	11286	68475
283	11330	68459
284	11381	68486
285	11466	68718
286	11517	68743
287	11565	68752
288	11618	68787
289	11674	68837
290	11724	68857
291	11798	69012
292	11844	69004
293	11881	68945
294	11917	68877
295	11963	68868
296	12002	68820
297	12048	68812
298	12094	68805
299	12137	68781
300	12180	68755
301	12221	68717
302	12279	68771
303	12324	68755
304	12370	68745
305	12439	68866
306	12519	69040
307	12609	69272
308	12699	69496
309	12758	69552
310	12817	69609
311	12883	69701
312	12940	69748
313	12998	69792
314	13059	69857
315	13119	69916
316	13184	70000
317	13258	70127
318	13329	70240
319	13443	70579
320	13501	70620
321	13560	70665
322	13630	70766
323	13679	70764
324	13722	70721
325	13766	70691
326	13827	70746
327	13887	70794
328	13930	70755
329	13978	70738
330	14027	70732
331	14075	70718
332	14119	70681
333	14159	70627
334	14195	70551
335	14231	70478
336	14264	70392
337	14302	70330
338	14339	70258
339	14381	70217
340	14423	70171
341	14460	70106
342	14502	70058
343	14540	69999
344	14579	69938
345	14624	69909
346	14667	69873
347	14723	69892
348	14771	69878
349	14816	69849
350	14857	69800
351	14899	69757
352	14965	69822
353	15029	69880
354	15092	69935
355	15139	69912
356	15205	69980
357	15253	69960
358	15299	69936
359	15345	69907
360	15388	69866
361	15440	69868
362	15490	69857
363	15582	70037
364	15626	69999
365	15665	69938
366	15706	69888
367	15744	69822
368	15793	69805
369	15835	69761
370	15887	69760
371	15932	69726
372	15981	69711
373	16017	69637
374	16056	69580
375	16092	69505
376	16148	69520
377	16198	69507
378	16242	69469
379	16284	69422
380	16326	69376
381	16369	69335
382	16413	69297
383	16470	69312
384	16518	69293
385	16555	69224
386	16595	69169
387	16633	69107
388	16675	69061
389	16720	69025
390	16764	68986
391	16805	68936
392	16845	68883
393	16886	68830
394	16931	68797
395	16976	68762
396	17041	68808
397	17086	68774
398	17155	68835
399	17196	68786
400	17240	68745
