iter	RMSE
700	110272.7377
701	110153.6465
702	110029.4009
703	110006.593
704	109945.1597
705	109823.298
706	109785.6828
707	109720.506
708	109680.2736
709	109645.9317
710	109451.2432
711	109425.3506
712	109192.8548
713	109008.2536
714	108983.8151
715	108900.4225
716	108877.9685
717	108789.9921
718	108746.4626
719	108740.8317
720	108606.6854
721	108593.6975
722	108426.156
723	108344.5016
724	108060.1462
725	107880.3343
726	107868.6376
727	107844.8839
728	107700.6025
729	107620.2226
730	107396.5187
731	107327.4223
732	107009.5191
733	106950.9832
734	106862.1929
735	106794.8159
736	106720.9575
737	106593.9122
738	106359.7349
739	106340.6142
740	106298.1728
741	106294.0573
742	106058.4392
743	105944.5211
744	105781.4739
745	105526.7175
746	105428.07
747	105332.6807
748	105323.5554
749	105133.3248
750	104873.9325
751	104593.1299
752	104504.3244
753	104357.3499
754	104279.8014
755	104262.2039
756	104189.2513
757	104031.3791
758	103893.6481
759	103674.5684
760	103577.2036
761	103482.6409
762	103396.9967
763	103118.3192
764	103007.0305
765	102963.8427
766	102909.0326
767	102775.1479
768	102539.5661
769	102273.8652
770	102109.8692
771	101971.6263
772	101694.0485
773	101192.0961
774	101186.003
775	101178.903
776	101059.8868
777	100982.3988
778	100958.2939
779	100809.7269
780	100808.7937
781	100667.8691
782	100615.9232
783	100405.222
784	100345.1521
785	100260.6613
786	100141.3661
787	100067.0504
788	99768.98259
789	99692.45051
790	99481.05855
791	99406.88352
792	99321.03133
793	99211.576
794	99037.17649
795	98984.09563
796	98969.28438
797	98909.4762
798	98869.69814
799	98837.87484
800	98733.05194
801	98694.94753
802	98618.07706
803	98402.56505
804	98322.125
805	98209.27929
806	98034.54665
807	97932.1498
808	97850.93329
809	97820.10242
810	97790.29458
811	97453.94772
812	97324.74084
813	97174.32789
814	96988.07873
815	96729.20308
816	96669.4133
817	96583.64202
818	96526.42763
819	96393.09925
820	96289.93954
821	96192.10164
822	96023.14941
823	95899.15212
824	95801.79014
825	95599.78067
826	95530.63965
827	95235.2826
828	95207.75335
829	95184.07425
830	95093.3645
831	95084.90294
832	94950.15247
833	94848.31881
834	94762.08727
835	94733.80788
836	94509.47565
837	94479.54342
838	94478.20453
839	94425.3259
840	94305.92695
841	94271.95492
842	94059.12724
843	93958.67923
844	93891.04981
845	93850.89989
846	93697.62996
847	93639.82969
848	93549.29405
849	93544.3304
850	93325.11445
851	93241.34711
852	93232.84207
853	93102.47275
854	93022.15971
855	92953.64615
856	92927.68394
857	92845.85149
858	92707.68928
859	92702.63258
860	92663.28347
861	92628.81924
862	92519.40779
863	92500.51542
864	92357.59616
865	92126.17466
866	92059.68795
867	91957.96945
868	91832.7022
869	91682.45135
870	91595.00338
871	91593.1741
872	91409.47629
873	91328.99818
874	91259.74436
875	91168.2637
876	91075.50225
877	90999.53315
878	90976.93171
879	90936.01984
880	90859.4214
881	90753.64699
882	90681.91081
883	90645.62815
884	90509.08331
885	90369.55736
886	90245.17514
887	90170.45058
888	90074.73934
889	90014.06027
890	89993.92452
891	89768.72186
892	89673.23899
893	89456.7905
894	89350.19286
895	89178.55696
896	88978.64798
897	88873.46417
898	88722.293
899	88558.08441
900	88506.07152
901	88318.64781
902	88262.76687
903	88143.10792
904	88138.05003
905	87905.51363
906	87752.77018
907	87607.43814
908	87467.46762
909	87354.16431
910	87199.72303
911	87075.91227
912	86914.16121
913	86823.37728
914	86753.50791
915	86615.99374
916	86370.49972
917	86347.32459
918	86285.71753
919	85948.09155
920	85859.65312
921	85758.81107
922	85715.85636
923	85712.30465
924	85488.4914
925	85304.37384
926	85225.10699
927	85159.76348
928	85093.09728
929	84952.72501
930	84913.1046
931	84789.71455
932	84700.37186
933	84549.49306
934	84526.9136
935	84506.47841
936	84495.78817
937	84463.80889
938	84407.54399
939	84402.75797
940	84294.85764
941	84242.79666
942	84217.75088
943	84102.44274
944	84049.46286
945	84010.29913
946	83930.35673
947	83904.49729
948	83870.68249
949	83833.54758
950	83810.68329
951	83731.95191
952	83570.01854
953	83474.55697
954	83378.70106
955	83178.701
956	83089.29526
957	83067.89748
958	82902.68718
959	82784.32787
960	82608.83671
961	82498.19152
962	82475.64103
963	82438.86712
964	82435.79097
965	82382.45309
966	82311.04984
967	82181.03217
968	82171.84793
969	82100.94179
970	81993.14015
971	81790.58732
972	81739.12097
973	81595.57439
974	81483.59535
975	81387.74403
976	81370.00114
977	81233.88546
978	81121.70237
979	81110.76316
980	80900.63382
981	80803.31386
982	80752.79118
983	80673.179
984	80670.6081
985	80605.27355
986	80555.46438
987	80370.6013
988	80291.11681
989	80233.34688
990	80184.47507
991	80110.37916
992	80041.01231
993	79935.28337
994	79933.73154
995	79842.22476
996	79773.90631
997	79707.4371
998	79700.06407
999	79568.59595
1000	79507.5554
1001	79326.93657
1002	79284.16853
1003	79213.76813
1004	79018.50088
1005	78914.15638
1006	78864.29728
1007	78699.3039
1008	78630.68328
1009	78613.58611
1010	78587.38667
1011	78492.914
1012	78292.24868
1013	78217.69627
1014	78138.2236
1015	78063.83126
1016	77944.46954
1017	77783.19555
1018	77742.20201
1019	77724.91439
1020	77699.50309
1021	77645.09102
1022	77631.12313
1023	77572.69125
1024	77495.79072
1025	77360.74603
1026	77325.8401
1027	77253.30788
1028	77249.14983
1029	77241.34949
1030	77199.09031
1031	77139.73081
1032	77114.5289
1033	76964.02475
1034	76877.60378
1035	76824.75899
1036	76816.63232
1037	76694.83985
1038	76685.99917
1039	76635.60882
1040	76571.88118
1041	76565.66265
1042	76438.61577
1043	76323.21301
1044	76266.3065
1045	76245.50428
1046	76090.78323
1047	76051.59876
1048	75931.45001
1049	75865.3879
1050	75806.10793
1051	75748.77081
1052	75679.7309
1053	75545.42982
1054	75472.49121
1055	75437.46509
1056	75388.15784
1057	75340.96405
1058	75304.75278
1059	75238.01354
1060	75020.02481
1061	74931.74437
1062	74846.941
1063	74807.28521
1064	74771.13133
1065	74730.78221
1066	74672.7425
1067	74655.07726
1068	74608.16997
1069	74487.20961
1070	74441.516
1071	74414.31346
1072	74357.50226
1073	74268.50644
1074	74216.98584
1075	74184.87419
1076	74166.20388
1077	74155.10959
1078	74098.39808
1079	74025.03253
1080	74014.26577
1081	73961.84062
1082	73934.15476
1083	73864.50832
1084	73836.64451
1085	73779.90842
1086	73677.15323
1087	73634.38878
1088	73616.6762
1089	73568.61317
1090	73430.26064
1091	73381.24791
1092	73306.54624
1093	73270.45031
1094	73243.24284
1095	73172.72076
1096	73006.89712
1097	72934.52897
1098	72803.30681
1099	72772.18422
1100	72745.50517
1101	72686.99814
1102	72661.68908
1103	72591.86594
1104	72568.25868
1105	72518.04254
1106	72432.94283
1107	72374.56101
1108	72331.33186
1109	72316.70159
1110	72287.8768
1111	72167.46514
1112	72074.32535
1113	72006.50012
1114	71975.1199
1115	71903.14786
1116	71810.58375
1117	71746.40027
1118	71696.37532
1119	71474.62494
1120	71363.44483
1121	71292.95624
1122	71223.19049
1123	71144.07158
1124	71092.70132
1125	71045.52177
1126	71026.43187
1127	71007.43974
1128	70851.78764
1129	70841.02029
1130	70787.79198
1131	70678.45641
1132	70672.42643
1133	70626.68968
1134	70497.89328
1135	70392.24181
1136	70341.71718
1137	70321.09109
1138	70316.67926
1139	70179.19352
1140	70085.06158
1141	70075.6721
1142	70019.62112
1143	69988.18284
1144	69956.17067
1145	69914.69807
1146	69906.98308
1147	69766.91907
1148	69639.71555
1149	69470.83971
1150	69422.15655
1151	69412.66387
1152	69349.6805
1153	69338.78567
1154	69231.67451
1155	69074.45522
1156	69031.80058
1157	68929.57039
1158	68899.47306
1159	68777.2888
1160	68736.92821
1161	68711.73072
1162	68634.39668
1163	68558.43792
1164	68491.74286
1165	68481.76716
1166	68448.92806
1167	68363.58379
1168	68299.60698
1169	68191.13744
1170	68126.62047
1171	68084.71489
1172	68043.77472
1173	67957.43726
1174	67935.12061
1175	67848.27808
1176	67794.92952
1177	67793.35152
1178	67688.19896
1179	67588.87195
1180	67558.63093
1181	67478.26226
1182	67393.13302
1183	67355.5055
1184	67320.06269
1185	67256.26469
1186	67084.50021
1187	66910.07857
1188	66852.93867
1189	66823.04297
1190	66763.07453
1191	66706.60282
1192	66617.88234
1193	66464.10097
1194	66236.24901
1195	66110.93903
1196	66095.74754
1197	65988.00203
1198	65912.94322
1199	65832.43815
1200	65789.58691
1201	65737.32096
1202	65718.06615
1203	65632.30033
1204	65620.98103
1205	65513.76643
1206	65512.8929
1207	65477.5839
1208	65473.08514
1209	65392.06917
1210	65220.93352
1211	65100.62356
1212	65076.67712
1213	64996.04224
1214	64966.08468
1215	64804.70213
1216	64716.18884
1217	64672.2013
1218	64615.42173
1219	64573.34447
1220	64510.27303
1221	64434.70883
1222	64412.26345
1223	64331.4652
1224	64245.09741
1225	64212.4149
1226	64169.13008
1227	64108.97221
1228	64069.6148
1229	63824.80827
1230	63804.37652
1231	63767.66005
1232	63674.87321
1233	63656.41052
1234	63654.61269
1235	63574.88833
1236	63553.43805
1237	63518.86397
1238	63477.45557
1239	63361.8407
1240	63334.97632
1241	63252.59271
1242	63126.31517
1243	63037.2049
1244	62970.28174
1245	62902.99919
1246	62891.24607
1247	62860.90899
1248	62852.66343
1249	62777.69595
1250	62705.04745
1251	62672.00148
1252	62660.17575
1253	62619.50593
1254	62553.21615
1255	62431.17937
1256	62415.53364
1257	62370.69577
1258	62291.20386
1259	62248.55465
1260	62135.74944
1261	62088.1879
1262	61973.93484
1263	61939.75392
1264	61895.06555
1265	61880.92627
1266	61834.98391
1267	61674.22909
1268	61539.15279
1269	61490.42204
1270	61435.35746
1271	61380.26268
1272	61327.93375
1273	61278.38677
1274	61227.02404
1275	61098.12937
1276	60955.67066
1277	60883.92995
1278	60864.94785
1279	60812.93279
1280	60740.77922
1281	60728.26786
1282	60654.14178
1283	60620.07389
1284	60602.34203
1285	60563.4682
1286	60516.95954
1287	60444.20667
1288	60391.42637
1289	60356.63349
1290	60205.77459
1291	60173.29352
1292	60119.39374
1293	60075.51133
1294	60048.80534
1295	60005.59657
1296	59962.14185
1297	59867.82308
1298	59786.52619
1299	59698.00948
1300	59638.77293
1301	59565.33846
1302	59543.84497
1303	59424.2236
1304	59419.62741
1305	59377.06971
1306	59259.08214
1307	59100.95991
1308	59087.24917
1309	59032.63603
1310	58835.68691
1311	58793.01664
1312	58751.94167
1313	58703.87186
1314	58590.22058
1315	58543.3165
1316	58509.9424
1317	58471.69135
1318	58385.30683
1319	58215.2529
1320	58150.82652
1321	58042.27032
1322	57997.01456
1323	57948.55235
1324	57920.84191
1325	57850.34218
1326	57757.35607
1327	57658.71855
1328	57634.08456
1329	57617.81118
1330	57595.60413
1331	57589.99949
1332	57553.09346
1333	57534.97569
1334	57511.98095
1335	57458.89457
1336	57363.69177
1337	57337.18195
1338	57240.66406
1339	57135.03738
1340	57124.42734
1341	57116.96709
1342	57013.52799
1343	56967.01154
1344	56923.91638
1345	56786.31003
1346	56738.63976
1347	56671.64195
1348	56646.91488
1349	56497.05841
1350	56456.4487
